#id,node_name,node_ip
146,hepls01.phys.uvic.ca,142.104.61.89
147,hepnrc.hep.net,131.225.110.18
148,heptel.rl.ac.uk,193.63.181.6
149,hepwww.ph.qmw.ac.uk,138.37.51.91
150,hn.ly,174.37.215.98
151,hon-adsl-166-044.telekom.net.sb,202.1.166.44
152,hon-prepaid-173-173.telekom.net.sb,202.1.173.173
153,hoss.ece.rice.edu,128.42.246.165
154,hu.seecs.edu.pk,121.52.150.71
155,hunnas.learn.ac.lk,192.248.1.165
156,iaeand.iaea.org,195.212.98.83
157,iastate.edu,129.186.1.99
158,icfamon.dl.ac.uk,193.62.127.224
159,icfamon.rl.ac.uk,130.246.135.152
160,icsun1.ic.ornl.gov,128.219.64.47
161,iepm-resp.slac.stanford.edu,134.79.104.81
162,iepmbw.twaren.net,211.79.63.77
163,if.ufrj.br,146.164.36.15
164,ihep.ac.cn,202.38.128.6
165,infn-garr.pi.infn.it,212.189.154.1
166,info.fuw.edu.pl,193.0.80.28
167,institutokilpatrick.edu.pa,168.77.202.30
168,internet.fo,212.55.32.93
169,ippm.utah.edu,155.99.55.11
170,julius.ktl.mii.lt,193.219.50.3
171,kadri.ut.ee,193.40.5.94
172,kinnaird.seecs.edu.pk,111.68.105.183
173,kitka.marnet.net.mk,194.149.131.2
174,lbl.gov,128.3.7.82
175,leonis.nus.edu.sg,137.132.1.18
176,library.ucb.edu.bh,81.22.17.7
177,library.uonbi.ac.ke,41.204.186.26
178,linhost2.utic.net.ba,195.130.35.104
179,llnl.gov,128.115.249.1
180,lnfnet.lnf.infn.it,193.206.84.12
181,lns62.lns.cornell.edu,128.84.47.62
182,lnsuni1.lns.infn.it,192.84.151.3
183,lobelia.physics.wisc.edu,128.104.28.5
184,lse.seecs.edu.pk,111.68.102.40
185,ludens.elte.hu,157.181.2.1
186,lurch.cns.syr.edu,128.230.12.5
187,m.root-servers.net,202.12.27.33
188,maggie1.seecs.edu.pk,115.186.131.81
189,maggie2.seecs.edu.pk,115.186.131.82
190,magic.mn,202.131.224.80
191,mail.africell.sl,212.6.57.27
192,mail.comium.com.lr,66.178.57.17
193,mail.fcien.edu.uy,164.73.80.11
194,mail.gnet.tn,193.95.75.236
195,mail.kipt.kharkov.ua,193.239.180.1
196,mail.lttnet.net,62.240.32.4
197,mail.neda.af,117.55.192.5
198,mail.prl.res.in,210.212.155.234
199,mail.qanet.gm,196.46.232.3
200,mail.td.refer.org,193.219.212.3
201,mail.unza.zm,196.46.196.4
202,mail192.er.doe.gov,192.73.213.47
203,mail2.starcom.co.ug,41.190.128.21
204,mailhub.scl.ameslab.gov,147.155.137.19
205,main.kyungwon.ac.kr,203.249.126.5
206,mathrisc1.lunet.edu,192.135.141.11
207,mcs.anl.gov,140.221.9.6
208,mctest.itep.ru,194.85.69.140
209,megalan.bg,95.111.55.251
210,mel-a-ext1.aarnet.net.au,202.158.195.132
211,melspeed.intervolve.com.au,122.100.4.228
212,mercury.uvic.ca,142.104.193.196
213,mit.edu,18.7.22.69
214,mnhepw.hep.umn.edu,128.101.220.105
215,moe.rice.edu,128.42.205.44
216,mon01.nren.net.np,202.52.0.3
217,monet.astro.uiuc.edu,128.174.51.155
218,monitor.scarlet.an,190.2.128.86
219,monitor.seecs.edu.pk,111.68.101.10
220,movie.zing.vn,222.255.122.28
221,ms01.linea.gov.br,186.232.60.129
222,multivac.sdsc.edu,132.249.20.57
223,munnari.oz.au,202.29.151.3
224,mvxme1.me.infn.it,192.135.18.10
225,mvxrm1.roma1.infn.it,141.108.5.3
226,namunu.learn.ac.lk,192.248.1.161
227,nav6.usm.my,122.255.105.253
228,needmore.physics.indiana.edu,129.79.157.90
229,net.shams.edu.eg,193.227.20.23
230,netgate.net,205.214.169.4
231,netmon.physics.carleton.ca,134.117.14.93
232,netslave1.cc.monash.edu.au,130.194.1.99
233,netvideo.bnl.gov,130.199.5.34
234,netwatch.sinica.edu.tw,140.109.13.101
235,nic.bme.hu,152.66.115.1
236,nic.nordu.net,192.36.148.17
237,niobe.ncsa.uiuc.edu,141.142.36.38
238,nlcta10.slac.stanford.edu,134.79.56.171
239,nmsapps.bigair.net.au,202.171.190.50
240,noc.kr.apan.net,203.255.248.51
241,noc4.sysadm.suny.edu,141.254.1.11
242,npm.neduet.edu.pk,111.68.110.8
243,ns-ext.vix.com,204.152.184.64
244,ns.above.net,207.126.96.162
245,ns.bora.net,164.124.101.2
246,ns.conacyt.gob.sv,168.243.10.151
247,ns.concentric.net,207.155.183.72
248,ns.cybercentro.com.sv,201.247.241.145
249,ns.demon.co.uk,158.152.1.193
250,ns.digex.net,164.109.1.3
251,ns.dns.br,200.160.0.5
252,ns.fq.edu.uy,164.73.160.194
253,ns.hana.ne.kr,220.90.238.66
254,ns.hanarotel.net,210.180.98.85
255,ns.hip.fi,128.214.56.84
256,ns.hitel.net,203.245.15.2
257,ns.jp.apan.net,203.181.248.3
258,ns.kiev.ua,193.29.220.3
259,ns.kornet.ne.kr,211.216.50.150
260,ns.kotis.net,203.233.202.33
261,ns.kreonet.re.kr,134.75.30.1
262,ns.krnic.net,202.30.50.50
263,ns.netsgo.com,210.115.125.37
264,ns.nownuri.net,203.238.128.24
265,ns.osaka-u.ac.jp,133.1.192.4
266,ns.pipex.net,158.43.128.26
267,ns.psi.net,38.8.48.2
268,ns.rcub.bg.ac.rs,147.91.1.5
269,ns.shinbiro.net,202.30.143.11
270,ns.sinp.msu.ru,213.131.0.1
271,ns.thrunet.co.kr,210.117.65.100
272,ns.uchicago.edu,128.135.12.23
273,ns.uu.net,137.39.1.3
274,ns1.alfred.edu,149.84.147.232
275,ns1.credis.ro,195.95.166.203
276,ns1.es.net,198.128.2.10
277,ns1.pi.infn.it,212.189.152.2
278,ns1.priorweb.be,62.182.60.69
279,ns1.restena.lu,158.64.1.23
280,ns1.retina.ar,200.10.202.3
281,ns1.swiftkenya.com,80.240.192.7
282,ns1.tcd.ie,134.226.1.114
283,ns1.unikin.cd,83.229.125.114
284,ns1.uta.edu,129.107.1.9
285,ns1.zu.ae,195.229.145.4
286,ns2.dns.br,200.19.119.99
287,ns2.indiana.edu,129.79.5.100
288,ns2.jp.apan.net,203.181.248.30
289,ns2.retina.ar,200.10.202.4
290,ns2.sztaki.hu,193.225.86.1
291,ns3.nic.fr,192.134.0.49
292,ns3.pieas.edu.pk,111.68.99.196
293,nuclear.physics.sunysb.edu,129.49.30.2
294,nuisb.seecs.edu.pk,111.68.96.89
295,nukhimain.seecs.edu.pk,111.68.108.109
296,nyu.edu,128.122.253.92
297,octopus.phy.bg.ac.yu,147.91.80.11
298,ohio-state.edu,128.146.214.28
299,om16.omantel.net.om,212.72.1.186
300,omnigate.clarkson.edu,128.153.4.2
301,ongkot.kmutt.ac.th,202.44.8.66
302,oppie.physics.umd.edu,129.2.42.5
303,ornl.gov,128.219.128.17
304,orpheus.sc.intel.com,143.183.2.11
305,osfserver.le.infn.it,192.84.152.11
306,ouhep1.nhn.ou.edu,129.15.30.147
307,pa.cache.nlanr.net,192.172.226.121
308,pc-isdn.desy.de,131.169.118.33
309,pdsfgrid2.nersc.gov,128.55.24.27
310,pdsfgrid4.nersc.gov,128.55.24.29
311,per-a-ext1.aarnet.net.au,202.158.195.4
312,phy.duke.edu,152.3.182.1
313,ping.cern.ch,137.138.28.176
314,ping.cs.wisc.edu,128.105.252.4
315,ping.desy.de,131.169.5.90
316,ping.isnic.is,193.4.58.91
317,ping.rhnet.is,130.208.16.20
318,ping.riken.jp,134.160.4.17
319,ping.rmki.kfki.hu,148.6.176.200
320,ping.slac.stanford.edu,134.79.18.21
321,pinger-itc.pu.edu.pk,111.68.103.29
322,pinger-ncp.ncp.edu.pk,111.68.99.142
323,pinger.acmesecurity.org,200.145.216.40
324,pinger.aiou.edu.pk,111.68.97.52
325,pinger.alquds.edu,62.90.25.198
326,pinger.arn.dz,193.194.81.48
327,pinger.ascr.doe.gov,192.73.213.124
328,pinger.cdac.in,196.1.113.251
329,pinger.cdacmumbai.in,202.141.151.30
330,pinger.cemb.edu.pk,111.68.103.83
331,pinger.cern.ch,192.91.244.6
332,pinger.comsats.edu.pk,203.124.40.43
333,pinger.cse.ust.hk,143.89.41.37
334,pinger.es.net,198.128.3.19
335,pinger.fsksm.utm.my,161.139.146.158
336,pinger.fsktm.um.edu.my,202.185.107.238
337,pinger.giki.edu.pk,121.52.151.109
338,pinger.hep.caltech.edu,131.215.116.42
339,pinger.iba-suk.edu.pk,121.52.155.11
340,pinger.ictp.it,140.105.28.117
341,pinger.isra.edu.pk,121.52.155.245
342,pinger.kohat.edu.pk,121.52.146.180
343,pinger.lcwu.edu.pk,111.68.103.135
344,pinger.lhr.nu.edu.pk,111.68.102.125
345,pinger.narss.sci.eg,195.43.3.135
346,pinger.nca.edu.pk,111.68.102.68
347,pinger.nchc.org.tw,140.110.20.230
348,pinger.numl.edu.pk,111.68.97.109
349,pinger.nwfpuet.edu.pk,121.52.147.71
350,pinger.pern.edu.pk,111.68.106.254
351,pinger.sesame.org.jo,80.90.171.80
352,pinger.slac.stanford.edu,134.79.104.80
353,pinger.sprace.org.br,200.136.80.16
354,pinger.stanford.edu,171.66.6.39
355,pinger.theenglishyouneed.com,128.79.33.176
356,pinger.uaar.edu.pk,111.68.99.248
357,pinger.uet.edu.pk,111.68.98.132
358,pinger.uettaxila.edu.pk,111.68.98.132
359,pinger.unesp.br,200.145.255.41
360,pinger.unimas.my,49.50.236.98
361,pinger.uob.edu.pk,121.52.157.112
362,pinger.usindh.edu.pk,121.52.154.50
363,pinger.ustb.edu.pk,213.229.80.194
364,pinger.vu.edu.pk,111.68.103.35
365,pingerfsbd.pern.edu.pk,121.52.153.242
366,pingerisl-air.pern.edu.pk,111.68.106.242
367,pingerisl-fjwu.pern.edu.pk,111.68.106.250
368,pingerisl-qau.pern.edu.pk,111.68.106.246
369,pingerjms.pern.edu.pk,121.52.154.2
370,pingerkhi-cpsp.pern.edu.pk,111.68.107.246
371,pingerkhi-uok.pern.edu.pk,111.68.107.242
372,pingerkhi.pern.edu.pk,111.68.108.11
373,pingerlhr-gcu.pern.edu.pk,111.68.102.210
374,pingerlhr-pu.pern.edu.pk,111.68.102.214
375,pingerlhr.pern.edu.pk,111.68.105.106
376,pingermtn.pern.edu.pk,121.52.158.210
377,pingerpwr.pern.edu.pk,121.52.150.231
378,pingerqta.pern.edu.pk,121.52.157.157
379,pollinbg.in2p3.fr,134.158.128.120
380,portal.ucb.edu.bo,190.129.73.16
381,pp2.it.su.se,130.237.162.80
382,prime.edu.np,202.52.0.9
383,ps.lcg.ustc.edu.cn,202.38.140.115
384,purdue.edu,128.210.7.199
385,quest.seecs.edu.pk,121.52.155.122
386,rainbow.inp.nsk.su,84.237.43.50
387,raman.physics.ucla.edu,128.97.23.117
388,rftpexp.rhic.bnl.gov,130.199.54.10
389,rockvax.rockefeller.edu,129.85.1.21
390,rzserv2.gsi.de,140.181.69.13
391,sadc-fanr.org.zw,193.220.40.13
392,sagrid.ac.za,196.21.182.2
393,sarcee.phys.ualberta.ca,129.128.7.65
394,sau.seecs.edu.pk,121.52.155.69
395,sbkwu.seecs.edu.pk,121.52.157.21
396,scipp.ucsc.edu,128.114.130.20
397,server2.infn.it,131.154.1.3
398,sg4.tsukuba.jp.hep.net,202.13.200.2
399,singaporetech.edu.sg,119.31.233.174
400,sirsyed.ssuet.edu.pk,111.68.108.179
401,sitka.triumf.ca,142.90.106.59
402,skitter.kaist.kr.apan.net,192.249.24.30
403,snowmassserver.snowmass2001.org,131.225.68.53
404,sopee.net,62.87.220.34
405,spdtst.doda.uz,195.158.18.218
406,speed.airnet.net.nz,202.137.240.186
407,speed.alienstation.ro,89.115.178.1
408,speed.chassco.net,112.78.219.248
409,speed.unidata.it,217.72.110.80
410,speedcheck.liwest.at,212.33.36.188
411,speedtest-roubaix.snsci.net,91.121.112.28
412,speedtest.airwire.ie,195.222.111.223
413,speedtest.amnetdatos.com.ni,165.98.132.8
414,speedtest.bbmax.co.uk,85.233.160.167
415,speedtest.bigtelecom.ru,87.255.1.133
416,speedtest.bitcom.com.br,187.63.191.2
417,speedtest.biznetnetworks.com,203.142.69.190
418,speedtest.cablecolor.hn,190.92.1.5
419,speedtest.com.sg,202.150.221.170
420,speedtest.dc.utel.ua,213.186.113.5
421,speedtest.dsl.li,82.117.0.15
422,speedtest.eglue.biz,212.18.63.105
423,speedtest.grupoamnet.net,200.13.161.170
424,speedtest.hns.net.in,120.88.46.30
425,speedtest.isp.qa,82.148.96.85
426,speedtest.ivory.azstarnet.az,89.147.255.10
427,speedtest.kis.lt,193.0.251.8
428,speedtest.meganets.ru,89.108.108.111
429,speedtest.net.bh,193.188.112.43
430,speedtest.net.pl,83.170.87.75
431,speedtest.ontelecoms.gr,91.132.5.198
432,speedtest.orangemali.net,196.200.80.4
433,speedtest.rack66.com,85.88.55.41
434,speedtest.ratiokontakt.de,212.63.133.222
435,speedtest.sahara.com.sa,212.76.68.93
436,speedtest.sby.dnet.net.id,202.148.11.34
437,speedtest.servihosting.es,84.232.1.9
438,speedtest.starnet.md,77.67.73.222
439,speedtest.techconcepts.co.za,66.8.85.147
440,speedtest.tmnet.se,84.243.62.5
441,speedtest.tsl.gr,147.52.17.45
442,speedtest.wxnz.net,58.28.13.209
443,speedtest2.giganet.hu,193.138.125.61
444,spin.riken.bnl.gov,130.199.80.216
445,st.netbynet.ru,79.120.31.237
446,stargrid01.rcf.bnl.gov,130.199.6.111
447,sun01a.desy.de,131.169.200.2
448,sunysb.edu,129.49.2.176
449,surf.sno.laurentian.ca,142.51.70.5
450,svr1dx.fisica.uniud.it,158.110.40.19
451,syd-a-ext1.aarnet.net.au,202.158.196.134
452,syr.edu,128.230.18.35
453,t2-monitor.ultralight.org,192.84.86.114
454,tbn04.nikhef.nl,192.16.186.229
455,tg.refer.org,41.207.188.10
456,thorin.physik.uni-mainz.de,134.93.129.216
457,thunderbird.internet2.edu,207.75.164.95
458,tpr.kr.apan.net,203.255.248.1
459,transexpress.com.ni,190.53.38.218
460,tribhuvan-university.edu.np,202.70.88.5
461,trieste-gw1.ts.infn.it,140.105.6.1
462,twmb.info,61.56.191.124
463,uaf.seecs.edu.pk,121.52.152.22
464,ucr.edu,138.23.226.101
465,ucsd.edu,132.239.180.101
466,uhheph.phys.hawaii.edu,128.171.11.7
467,ultralog.ampath.net,198.32.252.3
468,umn.edu,134.84.119.207
469,uoregon.edu,128.223.142.125
470,ust.edu.sd,95.131.65.81
471,usuhs.mil,131.158.7.14
472,utdallas.edu,129.110.10.36
473,utk.edu,160.36.179.25
474,utkvm1.utk.edu,160.36.178.69
475,v-www.ihep.ac.cn,202.38.128.7
476,vaxmi.mi.infn.it,192.84.138.1
477,vidconf.triumf.ca,142.90.114.155
478,vle.iiu.edu.pk,111.68.97.162
479,w4.lns.cornell.edu,128.84.44.110
480,waib.gouv.bj,81.91.232.2
481,washington.edu,140.142.3.7
482,wayne.edu,141.217.1.22
483,web-a.lvdats.lv,93.177.237.245
484,web.africaonline.co.sz,212.85.220.18
485,web.hepgrid.uerj.br,200.143.196.20
486,webmail.izi.re,80.69.208.114
487,westnet.ie,78.153.203.102
488,win17.b2web.com.ve,200.74.197.244
489,wisc.edu,144.92.9.144
490,wsgs00.lngs.infn.it,192.84.135.4
491,www-05.nexus.ao,41.221.254.23
492,www-hep.phys.cmu.edu,128.2.115.21
493,www-wanmon.slac.stanford.edu,134.79.197.197
494,www.6telecoms.co.tz,41.77.226.4
495,www.aazimbabwe.co.zw,196.201.17.235
496,www.ab.kg,195.38.166.130
497,www.absrsm.sm,194.183.95.35
498,www.abu.edu.ng,41.203.92.117
499,www.ac.lk,192.248.1.164
500,www.acat.org.sz,196.28.7.66
501,www.accommodationpng.com.pg,202.171.240.208
502,www.acet.or.tz,41.220.180.1
503,www.acf.ci,213.136.96.12
504,www.acmad.ne,41.138.57.34
505,www.acrossafricatours.co.zw,217.15.120.13
506,www.act.edu.om,212.72.26.54
507,www.adach.ae,86.96.196.32
508,www.adencomplex.com.ye,195.94.0.128
509,www.adpolice.gov.ae,194.170.200.102
510,www.adsl.com.na,196.1.28.12
511,www.adu.mr,82.151.72.2
512,www.advocatus.pt,94.46.217.31
513,www.advsouth.co.nz,202.174.117.137
514,www.aerodept.edu.ly,62.240.36.40
515,www.afcp.kz,89.218.26.206
516,www.afe.mr,82.151.64.110
517,www.afribone.net.gn,83.229.75.10
518,www.afrinet.cd,41.222.216.214
519,www.afyamzuri.org.zm,196.46.124.19
520,www.agestado.com.br,200.182.48.131
521,www.agetur.bj,81.91.225.90
522,www.agpe.ma,212.217.0.30
523,www.agriculture.gouv.ci,196.201.67.171
524,www.agrimarket.gov.bt,202.144.151.52
525,www.agrinamibia.com.na,196.44.136.21
526,www.agriportail.tn,193.95.21.131
527,www.aic.ac.nz,119.224.133.130
528,www.aims.ac.za,41.206.196.194
529,www.aio.upjs.sk,158.197.16.71
530,www.aisha.ac.zm,196.12.12.67
531,www.ait.ac.th,203.159.12.5
532,www.akcansa.com.tr,178.18.195.34
533,www.akme.kg,85.115.208.108
534,www.alief.dz,193.194.64.87
535,www.alihan.com.tr,94.199.200.115
536,www.allianzeunicollege.edu.my,110.4.41.15
537,www.alquds.edu,195.114.29.145
538,www.amcham.uz,217.29.116.177
539,www.amharainfo.gov.et,213.55.85.226
540,www.ams.ac.ir,194.225.16.5
541,www.anadolu.edu.tr,193.140.21.18
542,www.andina.com.pe,190.102.133.195
543,www.ans.edu.ni,200.30.165.170
544,www.antenalivre.pt,94.46.3.16
545,www.apdf.org.ml,217.64.107.135
546,www.aportmall.kz,212.154.192.83
547,www.argon.com.tr,212.175.236.104
548,www.aser.sn,41.208.153.76
549,www.asm.md,193.226.65.35
550,www.assemblee.ne,41.190.228.6
551,www.auf.edu.ph,210.4.97.195
552,www.aui.ma,196.12.203.30
553,www.aun.edu.ng,41.223.136.5
554,www.auth.gr,155.207.1.12
555,www.avaza.gov.tm,217.174.229.211
556,www.babcock.edu.ng,41.203.82.85
557,www.bacim.mr,82.151.72.218
558,www.banjuldiocese.gm,212.60.76.13
559,www.bankofbotswana.bw,83.143.28.88
560,www.bcpng.org.pg,124.240.221.35
561,www.belnet.net,193.190.130.15
562,www.beltei.edu.kh,115.178.24.7
563,www.benuestate.gov.ng,41.222.209.140
564,www.bidvestnamibia.com.na,41.218.69.50
565,www.bis.k12.tr,212.58.28.139
566,www.bonesha.bi,196.2.12.32
567,www.bos.gov.ls,196.202.246.8
568,www.bracuniversity.net,202.168.254.6
569,www.brahman.iway.na,196.44.136.32
570,www.brunet.bn,61.6.254.1
571,www.bte.com.tn,193.95.75.120
572,www.btm.com.br,200.218.6.3
573,www.btu.upm.edu.my,119.40.116.240
574,www.bu.edu,128.197.26.35
575,www.caen.edu.pe,200.37.34.80
576,www.cambridge.edu.jo,80.90.160.133
577,www.camnet.cm,195.24.192.36
578,www.camnet.com.kh,203.223.32.17
579,www.campucss.edu.pe,206.214.217.238
580,www.canal2temuco.cl,200.29.188.25
581,www.carisp.sm,194.183.84.46
582,www.carnet.hr,161.53.160.25
583,www.cau.ac.kr,165.194.95.137
584,www.cayirova.ber.tr,82.222.57.141
585,www.cbn.net.id,210.210.191.202
586,www.cbt.tm,217.174.226.81
587,www.cbu.uz,195.158.31.77
588,www.ccis.org.tn,41.228.38.39
589,www.ccs.ornl.gov,134.167.16.23
590,www.centroin.com.br,200.225.63.214
591,www.cern.ch,137.138.144.168
592,www.cgr.gob.ni,165.98.53.164
593,www.channeli.net,210.112.192.30
594,www.cici.edu.kh,66.147.244.217
595,www.cinfo.cu,169.158.178.119
596,www.cisco.com,198.133.219.25
597,www.cms.sn,41.208.153.133
598,www.cnaps.mg,41.188.38.233
599,www.cnp.me,213.149.105.8
600,www.cnss.ga,41.211.191.124
601,www.cob.edu.bs,65.75.64.69
602,www.college.edu.sn,196.1.94.92
603,www.corpam.ec,201.219.15.18
604,www.corpozulia.gov.ve,200.11.236.213
605,www.criba.edu.ar,168.96.204.37
606,www.csir.co.za,146.64.81.59
607,www.csir.org.gh,41.220.48.79
608,www.cst.edu.ve,200.6.155.210
609,www.cuc.ac.cr,208.165.49.115
610,www.cuc.edu.ve,201.249.245.167
611,www.cudi.edu.mx,132.248.194.81
612,www.customs.gov.mv,202.21.178.82
613,www.cut.edu.lb,89.108.129.100
614,www.cvut.cz,147.32.3.39
615,www.cyfronet.krakow.pl,149.156.2.252
616,www.daffodilvarsity.edu.bd,203.190.10.90
617,www.data.com,12.130.5.36
618,www.dcc.uchile.cl,192.80.24.4
619,www.desy.de,131.169.30.61
620,www.doctors.ly,41.254.33.86
621,www.drtvnet.cg,41.203.0.229
622,www.duet.ac.bd,203.112.196.165
623,www.dut.ac.za,196.35.150.170
624,www.dvo.ru,94.198.16.4
625,www.eastafricauniversity.net,110.4.46.95
626,www.ebanksalaam.dj,196.201.195.44
627,www.ecm.ub.es,161.116.81.151
628,www.ecnu.edu.cn,202.101.26.146
629,www.ed.ac.uk,129.215.233.64
630,www.edls.edu.bs,24.244.141.213
631,www.edtc.ac.pg,202.95.202.7
632,www.egrem.com.cu,200.55.168.173
633,www.eldjazair.net.dz,193.194.64.71
634,www.embratel.net.br,200.255.125.206
635,www.emploi.nat.tn,41.224.37.230
636,www.energy.gov.mn,202.179.8.199
637,www.er.doe.gov,205.254.141.139
638,www.es.net,198.128.3.112
639,www.esmt.sn,213.154.80.147
